                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15279,                0.84036,                      1,                0.25043,                0.07009,              0.0033233,              0.0033233
                      1,                0.02645,                 0.8012,                      1,                0.25502,               0.039871,               0.006437,               0.006437
                      2,                0.01879,                0.55422,                      1,                 0.3717,               0.009431,              0.0093306,              0.0093306
                      3,                 0.0124,                0.80873,                      1,                0.24455,                0.00901,                0.00901,                0.00901
                      4,                0.01089,                0.78012,                      1,                0.25959,                0.00901,                0.00901,                0.00901
                      5,                0.01021,                0.57229,                      1,                0.36348,                0.00868,                0.00868,                0.00868
                      6,                0.00615,                0.78916,                      1,                0.25617,                0.00835,                0.00835,                0.00835
                      7,                0.00791,                0.55723,                      1,                0.37295,                0.00802,                0.00802,                0.00802
                      8,                0.00634,                0.86446,                      1,                0.21255,                0.00769,                0.00769,                0.00769
                      9,                0.00274,                0.99548,                      1,                0.15778,                0.00736,                0.00736,                0.00736
                     10,                0.00336,                0.99548,                      1,                0.15765,                0.00703,                0.00703,                0.00703
                     11,                0.00339,                 0.7997,                      1,                0.25274,                 0.0067,                 0.0067,                 0.0067
                     12,                0.00273,                0.85693,                      1,                0.22073,                0.00637,                0.00637,                0.00637
                     13,                0.00163,                0.98343,                      1,                0.16494,                0.00604,                0.00604,                0.00604
                     14,                0.00244,                0.99849,                      1,                0.15581,                0.00571,                0.00571,                0.00571
                     15,                0.00185,                0.99699,                      1,                0.15621,                0.00538,                0.00538,                0.00538
                     16,                0.00153,                      1,                      1,                0.15605,                0.00505,                0.00505,                0.00505
                     17,                0.00079,                0.99699,                      1,                0.15619,                0.00472,                0.00472,                0.00472
                     18,                0.00091,                0.99849,                      1,                0.15549,                0.00439,                0.00439,                0.00439
                     19,                0.00081,                0.99849,                      1,                0.15551,                0.00406,                0.00406,                0.00406
                     20,                0.00035,                      1,                      1,                0.15502,                0.00373,                0.00373,                0.00373
                     21,                0.00044,                 0.8494,                      1,                0.22076,                 0.0034,                 0.0034,                 0.0034
                     22,                0.00034,                      1,                      1,                0.15492,                0.00307,                0.00307,                0.00307
                     23,                0.00031,                      1,                      1,                0.15493,                0.00274,                0.00274,                0.00274
                     24,                0.00026,                      1,                      1,                  0.155,                0.00241,                0.00241,                0.00241
                     25,                 0.0003,                      1,                      1,                0.15493,                0.00208,                0.00208,                0.00208
                     26,                0.00042,                      1,                      1,                  0.155,                0.00175,                0.00175,                0.00175
                     27,                0.00013,                      1,                      1,                 0.1549,                0.00142,                0.00142,                0.00142
                     28,                0.00036,                      1,                      1,                0.15489,                0.00109,                0.00109,                0.00109
                     29,                0.00017,                      1,                      1,                0.15485,                0.00076,                0.00076,                0.00076
