                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2752,                 3.9883,                 1.6539,                0.18762,                0.15789,                 0.1249,                0.05114,                 2.2545,                 2.9259,                 1.6105,               0.070169,              0.0033145,              0.0033145
                      1,                 2.1719,                 2.7018,                 1.5589,                   0.54,                0.04525,                0.07055,                0.02883,                 2.5008,                 3.5081,                 1.8987,                0.03995,              0.0064285,              0.0064285
                      2,                 2.2485,                 2.5417,                 1.5743,                0.20699,                0.15629,                0.10258,                 0.0391,                  2.579,                 2.9828,                 1.9328,              0.0095107,              0.0093224,              0.0093224
                      3,                 2.2497,                 2.4221,                 1.5977,                0.24391,                0.20675,                 0.1413,                0.05311,                 2.3739,                 2.5486,                 1.7229,                0.00901,                0.00901,                0.00901
                      4,                 2.2224,                 2.3292,                  1.582,                0.15186,                0.09784,                0.06572,                0.02225,                 2.7251,                 3.2846,                 1.8748,                0.00901,                0.00901,                0.00901
                      5,                 2.1841,                 2.2152,                 1.5579,                0.27663,                0.31065,                0.23141,                0.09287,                 2.1925,                  2.213,                 1.6319,                0.00868,                0.00868,                0.00868
                      6,                 2.1362,                 2.1406,                 1.5383,                0.32694,                0.29071,                0.26481,                0.11307,                 2.1288,                 2.1103,                 1.5593,                0.00835,                0.00835,                0.00835
                      7,                 2.1103,                 2.0885,                 1.5162,                0.45162,                0.28074,                0.26535,                0.11572,                 2.1109,                  2.095,                 1.5599,                0.00802,                0.00802,                0.00802
                      8,                 2.0757,                 2.0184,                 1.5044,                0.36303,                0.35935,                0.29856,                0.12888,                  2.071,                 1.9328,                 1.5124,                0.00769,                0.00769,                0.00769
                      9,                 2.0508,                 1.9795,                 1.4785,                0.40406,                0.35722,                0.31366,                0.13835,                 1.9929,                 1.9118,                 1.5024,                0.00736,                0.00736,                0.00736
                     10,                 2.0189,                 1.9198,                 1.4692,                0.40255,                0.33661,                0.30923,                 0.1295,                 2.0744,                 1.9647,                 1.5301,                0.00703,                0.00703,                0.00703
                     11,                 2.0108,                 1.8568,                 1.4516,                0.44234,                0.38711,                0.36506,                0.16475,                 1.9541,                 1.8249,                 1.4459,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.9607,                 1.8418,                 1.4255,                0.42329,                0.40225,                 0.3578,                0.15858,                 1.9471,                 1.7979,                 1.4474,                0.00637,                0.00637,                0.00637
                     13,                 1.9664,                 1.7717,                  1.413,                0.41711,                 0.3725,                0.34764,                0.16004,                 1.9581,                 1.8402,                 1.4509,                0.00604,                0.00604,                0.00604
                     14,                 1.9318,                  1.761,                 1.3954,                0.51677,                0.40473,                0.40197,                0.17758,                 1.9012,                 1.7478,                 1.4383,                0.00571,                0.00571,                0.00571
                     15,                  1.917,                 1.7129,                 1.3876,                0.47407,                0.41178,                0.37659,                0.16625,                 1.9391,                 1.7485,                 1.4409,                0.00538,                0.00538,                0.00538
                     16,                 1.9029,                 1.6614,                 1.3729,                0.46414,                0.40416,                0.40092,                0.18365,                 1.9298,                 1.6833,                 1.4562,                0.00505,                0.00505,                0.00505
                     17,                  1.875,                 1.6738,                 1.3692,                0.45921,                0.46658,                0.43046,                0.19798,                 1.8783,                 1.6396,                 1.4242,                0.00472,                0.00472,                0.00472
                     18,                 1.8583,                 1.6241,                 1.3547,                0.51095,                0.44003,                0.42905,                0.19547,                 1.8586,                 1.6469,                   1.39,                0.00439,                0.00439,                0.00439
                     19,                  1.843,                 1.6096,                 1.3415,                0.47155,                0.45722,                0.43829,                0.19992,                 1.8534,                 1.6409,                 1.3984,                0.00406,                0.00406,                0.00406
                     20,                 1.8171,                  1.562,                 1.3305,                 0.5019,                0.43158,                0.43113,                0.19656,                 1.8901,                 1.6418,                 1.4397,                0.00373,                0.00373,                0.00373
                     21,                  1.816,                 1.5561,                 1.3306,                0.48618,                0.49693,                0.46993,                0.21385,                 1.8521,                 1.5579,                 1.3889,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.7833,                 1.5145,                 1.3139,                0.50143,                0.50551,                0.48443,                 0.2261,                 1.8176,                 1.5411,                 1.3871,                0.00307,                0.00307,                0.00307
                     23,                 1.7641,                 1.4815,                 1.2998,                 0.5423,                0.47117,                0.49571,                0.22488,                 1.8422,                 1.5283,                 1.3732,                0.00274,                0.00274,                0.00274
                     24,                 1.7473,                 1.4518,                 1.2849,                0.56565,                0.46381,                0.49332,                0.22722,                 1.8414,                 1.5235,                 1.3789,                0.00241,                0.00241,                0.00241
                     25,                 1.7328,                  1.435,                  1.286,                0.56853,                0.49317,                0.51221,                0.23239,                 1.8157,                 1.4717,                 1.3689,                0.00208,                0.00208,                0.00208
                     26,                 1.7193,                 1.4145,                 1.2743,                0.53812,                0.50981,                0.51936,                0.23677,                 1.8074,                 1.4641,                 1.3698,                0.00175,                0.00175,                0.00175
                     27,                 1.7121,                 1.3876,                 1.2643,                0.55512,                0.51131,                0.53441,                0.24735,                 1.7805,                 1.4182,                 1.3475,                0.00142,                0.00142,                0.00142
                     28,                 1.6862,                 1.3611,                 1.2462,                0.50815,                0.55636,                0.54141,                0.25104,                 1.7784,                 1.4074,                 1.3438,                0.00109,                0.00109,                0.00109
                     29,                   1.69,                  1.351,                 1.2461,                0.56044,                0.53836,                0.56022,                0.26186,                 1.7739,                 1.3788,                  1.339,                0.00076,                0.00076,                0.00076
