,test_path,labels,pred,label_score,pred_score
562,./test/normal/Japan_000183.jpg,normal,rusak,0,1
661,./test/normal/Norway_000334.jpg,normal,normal,0,0
4027,./test/rusak/United_States_004388.jpg,rusak,rusak,1,1
3816,./test/rusak/United_States_002324.jpg,rusak,rusak,1,1
1428,./test/rusak/China_Drone_001516.jpg,rusak,rusak,1,1
935,./test/normal/Norway_004609.jpg,normal,normal,0,0
1062,./test/normal/Norway_006334.jpg,normal,normal,0,0
2052,./test/rusak/India_004537.jpg,rusak,rusak,1,1
668,./test/normal/Norway_000407.jpg,normal,rusak,0,1
3532,./test/rusak/O_7630.jpeg,rusak,rusak,1,1
1043,./test/normal/Norway_006128.jpg,normal,normal,0,0
45,./test/normal/Czech_000980.jpg,normal,normal,0,0
3420,./test/rusak/Norway_005546.jpg,rusak,normal,1,0
861,./test/normal/Norway_003548.jpg,normal,normal,0,0
3784,./test/rusak/United_States_001919.jpg,rusak,rusak,1,1
1652,./test/rusak/China_MotorBike_001317.jpg,rusak,rusak,1,1
3355,./test/rusak/Norway_003810.jpg,rusak,rusak,1,1
684,./test/normal/Norway_000765.jpg,normal,rusak,0,1
2942,./test/rusak/Japan_009825.jpg,rusak,rusak,1,1
3999,./test/rusak/United_States_004173.jpg,rusak,rusak,1,1
3103,./test/rusak/Japan_012080.jpg,rusak,rusak,1,1
1423,./test/rusak/China_Drone_001448.jpg,rusak,rusak,1,1
2519,./test/rusak/Japan_003908.jpg,rusak,rusak,1,1
776,./test/normal/Norway_002298.jpg,normal,rusak,0,1
1082,./test/normal/Norway_006699.jpg,normal,normal,0,0
3614,./test/rusak/United_States_000279.jpg,rusak,rusak,1,1
4074,./test/rusak/United_States_004801.jpg,rusak,rusak,1,1
347,./test/normal/India_004763.jpg,normal,rusak,0,1
528,./test/normal/India_009099.jpg,normal,normal,0,0
1828,./test/rusak/D_15070.jpeg,rusak,rusak,1,1
2674,./test/rusak/Japan_006022.jpg,rusak,rusak,1,1
3198,./test/rusak/K_13260.jpeg,rusak,rusak,1,1
87,./test/normal/Czech_001768.jpg,normal,normal,0,0
2103,./test/rusak/India_005909.jpg,rusak,rusak,1,1
2361,./test/rusak/Japan_001422.jpg,rusak,rusak,1,1
3043,./test/rusak/Japan_011245.jpg,rusak,rusak,1,1
1070,./test/normal/Norway_006525.jpg,normal,normal,0,0
463,./test/normal/India_007414.jpg,normal,normal,0,0
2648,./test/rusak/Japan_005589.jpg,rusak,rusak,1,1
1109,./test/normal/Norway_007062.jpg,normal,rusak,0,1
3169,./test/rusak/Japan_012968.jpg,rusak,rusak,1,1
1691,./test/rusak/China_MotorBike_001729.jpg,rusak,rusak,1,1
3930,./test/rusak/United_States_003518.jpg,rusak,rusak,1,1
2959,./test/rusak/Japan_010006.jpg,rusak,rusak,1,1
1951,./test/rusak/India_002068.jpg,rusak,rusak,1,1
2773,./test/rusak/Japan_007515.jpg,rusak,rusak,1,1
3509,./test/rusak/Norway_007728.jpg,rusak,rusak,1,1
3979,./test/rusak/United_States_003964.jpg,rusak,rusak,1,1
3730,./test/rusak/United_States_001433.jpg,rusak,rusak,1,1
3581,./test/rusak/R_29240.jpeg,rusak,rusak,1,1
1114,./test/normal/Norway_007118.jpg,normal,rusak,0,1
1385,./test/rusak/China_Drone_001157.jpg,rusak,rusak,1,1
2719,./test/rusak/Japan_006787.jpg,rusak,rusak,1,1
72,./test/normal/Czech_001425.jpg,normal,rusak,0,1
2013,./test/rusak/India_003769.jpg,rusak,rusak,1,1
3603,./test/rusak/United_States_000081.jpg,rusak,rusak,1,1
3512,./test/rusak/Norway_007756.jpg,rusak,rusak,1,1
2087,./test/rusak/India_005465.jpg,rusak,rusak,1,1
2697,./test/rusak/Japan_006472.jpg,rusak,rusak,1,1
3369,./test/rusak/Norway_004124.jpg,rusak,rusak,1,1
634,./test/normal/Norway_000007.jpg,normal,rusak,0,1
1649,./test/rusak/China_MotorBike_001302.jpg,rusak,rusak,1,1
3965,./test/rusak/United_States_003853.jpg,rusak,rusak,1,1
